Date,Price,Open,High,Low,Vol.,Change %,
19-Oct-11,2.3,2.4,2.5,2,101.87K,-6.20%,459
18-Oct-11,2.4,2.6,2.9,2.3,87.86K,-5.47%,458
17-Oct-11,2.6,3.6,3.7,2.3,207.43K,-28.09%,457
16-Oct-11,3.6,3.8,3.9,3.4,36.20K,-7.29%,456
15-Oct-11,3.8,4,4.1,3.7,42.09K,-3.76%,455
14-Oct-11,4,4.1,4.1,4,20.06K,-1.48%,454
13-Oct-11,4.1,4.2,4.2,4,19.71K,-2.41%,453
12-Oct-11,4.2,3.9,4.4,3.9,69.40K,5.60%,452
11-Oct-11,3.9,4.1,4.1,3.8,41.10K,-4.15%,451
10-Oct-11,4.1,4.1,4.2,4,16.86K,0.00%,450
9-Oct-11,4.1,4,4.4,4,37.92K,2.24%,449
8-Oct-11,4,4.3,4.3,3.8,39.61K,-6.09%,448
7-Oct-11,4.3,4.7,4.8,3.8,97.55K,-9.73%,447
6-Oct-11,4.7,4.9,4.9,4.5,54.77K,-2.87%,446
5-Oct-11,4.9,5,5,4.8,17.59K,-1.81%,445
4-Oct-11,5,5,5,4.9,15.79K,-1.20%,444
3-Oct-11,5,5,5,4.9,17.29K,0.00%,443
2-Oct-11,5,5,5.1,4.9,10.46K,0.00%,442
1-Oct-11,5,5.1,5.3,4.9,23.46K,-2.14%,441
30-Sep-11,5.1,4.8,5.3,4.7,41.46K,7.53%,440
29-Sep-11,4.8,4.8,4.8,4.7,14.09K,0.00%,439
28-Sep-11,4.8,4.9,5,4.6,30.63K,-3.05%,438
27-Sep-11,4.9,4.9,5.1,4.8,24.65K,1.03%,437
26-Sep-11,4.9,5.3,5.4,4.7,56.07K,-8.63%,436
25-Sep-11,5.3,5.5,5.5,5.3,9.49K,-2.56%,435
24-Sep-11,5.5,5.6,5.6,5.3,17.94K,-1.44%,434
23-Sep-11,5.6,5.4,5.7,5.4,55.67K,2.21%,433
22-Sep-11,5.4,5.6,5.8,5.3,31.65K,-3.21%,432
21-Sep-11,5.6,6.1,6.3,5.1,68.16K,-8.18%,431
20-Sep-11,6.1,5.5,6.8,5.4,116.75K,11.90%,430
19-Sep-11,5.5,5.2,5.6,4.9,49.84K,5.00%,429
18-Sep-11,5.2,4.8,5.6,4.7,44.62K,9.01%,428
17-Sep-11,4.8,4.8,4.9,4.7,20.30K,-1.04%,427
16-Sep-11,4.8,4.8,5,4.6,31.65K,0.00%,426
15-Sep-11,4.8,5.6,5.6,4.4,86.22K,-13.88%,425
14-Sep-11,5.6,5.8,5.8,5.3,43.77K,-3.10%,424
13-Sep-11,5.8,6.1,6.1,5.7,23.76K,-4.61%,423
12-Sep-11,6.1,5.9,6.6,5.4,63.86K,3.75%,422
11-Sep-11,5.9,4.8,7.4,4.6,143.79K,22.85%,421
10-Sep-11,4.8,5,5.5,4.6,44.49K,-5.17%,420
9-Sep-11,5,6.5,6.6,4.2,217.43K,-22.97%,419
8-Sep-11,6.5,7.2,7.2,6.5,31.89K,-9.18%,418
7-Sep-11,7.2,6.9,7.6,6.5,49.64K,4.81%,417
6-Sep-11,6.9,7.6,7.7,6.1,82.50K,-9.86%,416
5-Sep-11,7.6,8.2,8.2,7.3,30.80K,-6.97%,415
4-Sep-11,8.2,8.5,8.5,7.8,19.67K,-3.54%,414
3-Sep-11,8.5,8.6,8.7,8.4,6.95K,-1.85%,413
2-Sep-11,8.6,8.2,8.7,8.2,16.82K,5.24%,412
1-Sep-11,8.2,8.2,8.4,8.1,11.90K,0.00%,411
31-Aug-11,8.2,8.8,8.8,8,19.65K,-6.71%,410
30-Aug-11,8.8,9,9,8.6,11.77K,-2.01%,409
29-Aug-11,9,9.1,9.3,8.6,21.65K,-1.10%,408
28-Aug-11,9.1,8.6,9.5,8.4,24.16K,5.59%,407
27-Aug-11,8.6,8.2,9.1,8.1,22.00K,5.01%,406
26-Aug-11,8.2,9.7,9.9,7.6,83.00K,-15.32%,405
25-Aug-11,9.7,10.9,10.9,9.1,55.49K,-10.97%,404
24-Aug-11,10.9,10.9,11.1,10.8,7.82K,-0.82%,403
23-Aug-11,10.9,10.9,11.3,10.8,12.78K,0.00%,402
22-Aug-11,10.9,11.3,11.5,10.5,37.00K,-3.63%,401
21-Aug-11,11.3,11.4,11.5,11.3,8.72K,-1.22%,400
20-Aug-11,11.4,11.6,11.7,11.4,9.92K,-1.72%,399
19-Aug-11,11.6,10.8,11.8,10.8,33.72K,7.57%,398
18-Aug-11,10.8,10.9,11.1,10.8,8.21K,-1.10%,397
17-Aug-11,10.9,11,11.1,10.7,22.90K,0.00%,396
16-Aug-11,11,11.1,11.3,10.8,15.33K,-1.70%,395
15-Aug-11,11.1,10.8,11.9,10.7,38.16K,3.24%,394
14-Aug-11,10.8,10.1,11.2,9.6,44.13K,6.61%,393
13-Aug-11,10.1,9.5,10.3,9.3,29.76K,7.08%,392
12-Aug-11,9.5,9.5,9.8,8.9,41.59K,0.00%,391
11-Aug-11,9.5,10,10.5,8.4,58.12K,-5.21%,390
10-Aug-11,10,10,10.4,9.5,24.25K,0.00%,389
9-Aug-11,10,7.8,12.1,7.7,114.47K,28.08%,388
8-Aug-11,7.8,7.9,8.2,7.1,34.04K,-1.27%,387
7-Aug-11,7.9,6.6,9.5,6,89.83K,20.61%,386
6-Aug-11,6.6,9.8,9.9,5.7,102.41K,-33.16%,385
5-Aug-11,9.8,10.8,11,9.5,30.77K,-8.84%,384
4-Aug-11,10.8,9.3,11.1,9.3,50.09K,16.09%,383
3-Aug-11,9.3,12.1,12.2,8.7,90.29K,-23.15%,382
2-Aug-11,12.1,13.1,13.1,11.5,57.24K,-7.94%,381
1-Aug-11,13.1,13.4,13.6,12.9,21.75K,-1.95%,380
31-Jul-11,13.4,13.5,14.9,12.8,45.72K,-1.33%,379
30-Jul-11,13.5,13.5,13.6,13.4,6.10K,0.00%,378
29-Jul-11,13.5,13.5,13.7,13.3,7.26K,0.00%,377
28-Jul-11,13.5,13.9,13.9,13.3,32.74K,-3.23%,376
27-Jul-11,13.9,13.9,14.1,13.9,11.51K,0.43%,375
26-Jul-11,13.9,14.1,14.1,13.8,16.79K,-1.21%,374
25-Jul-11,14.1,14,14.7,13.8,31.58K,0.50%,373
24-Jul-11,14,13.7,14.1,13.6,26.62K,2.19%,372
23-Jul-11,13.7,13.7,13.8,13.5,22.46K,0.00%,371
22-Jul-11,13.7,13.6,13.8,13.4,15.17K,0.66%,370
21-Jul-11,13.6,13.7,13.8,13.4,25.02K,-0.58%,369
20-Jul-11,13.7,13.9,14,13.4,23.18K,-1.16%,368
19-Jul-11,13.9,13.5,14.7,13.4,67.58K,2.74%,367
18-Jul-11,13.5,13.2,13.9,12.5,75.90K,2.43%,366
17-Jul-11,13.2,13.7,13.8,13,34.38K,-4.08%,365
16-Jul-11,13.7,13.8,13.8,13.5,17.26K,-0.65%,364
15-Jul-11,13.8,14,14.1,13.5,24.82K,-1.29%,363
14-Jul-11,14,13.9,14.1,13.7,17.66K,0.00%,362
13-Jul-11,13.9,14,14.1,13.9,10.34K,-0.43%,361
12-Jul-11,14,14.2,14.6,13.9,26.36K,-1.41%,360
11-Jul-11,14.2,14.9,15.2,13.8,49.16K,-4.63%,359
10-Jul-11,14.9,14.4,15.7,14.4,45.28K,3.62%,358
9-Jul-11,14.4,14.3,14.7,14,11.91K,0.49%,357
8-Jul-11,14.3,14.8,15.6,13.9,34.85K,-3.18%,356
7-Jul-11,14.8,14.8,15.9,14.5,54.47K,0.00%,355
6-Jul-11,14.8,12.9,16.5,12.7,111.82K,14.48%,354
5-Jul-11,12.9,13.9,15,11,84.08K,-6.85%,353
4-Jul-11,13.9,15.4,15.5,13.1,52.28K,-10.23%,352
3-Jul-11,15.4,15.4,15.7,15.3,16.79K,0.00%,351
2-Jul-11,15.4,15.4,15.8,15.3,19.45K,0.00%,350
1-Jul-11,15.4,16.1,16.7,15.3,33.28K,-4.35%,349
30-Jun-11,16.1,16.9,17,15.7,34.96K,-4.45%,348
29-Jun-11,16.9,17,17.2,16.7,21.04K,-0.59%,347
28-Jun-11,17,16.8,17.5,16.5,24.40K,1.19%,346
27-Jun-11,16.8,16.5,18,15,31.45K,1.82%,345
26-Jun-11,16.5,17.5,17.5,14,15.05K,-6.05%,344
25-Jun-11,17.5,17.5,17.5,17.5,-,0.00%,343
24-Jun-11,17.5,17.5,17.5,17.5,-,0.00%,342
23-Jun-11,17.5,17.5,17.5,17.5,-,0.00%,341
22-Jun-11,17.5,17.5,17.5,17.5,-,0.00%,340
21-Jun-11,17.5,17.5,17.5,17.5,-,0.00%,339
20-Jun-11,17.5,17.5,17.5,17.5,-,0.00%,338
19-Jun-11,17.5,16.9,18.9,16.9,30.18K,3.67%,337
18-Jun-11,16.9,15.7,17,15.1,35.54K,7.72%,336
17-Jun-11,15.7,17,18.3,13,108.62K,-7.76%,335
16-Jun-11,17,19.5,19.9,17,49.20K,-12.78%,334
15-Jun-11,19.5,19.3,20,19,27.71K,1.09%,333
14-Jun-11,19.3,19.8,20.5,18,36.16K,-2.82%,332
13-Jun-11,19.8,18.5,24.5,16,73.42K,6.95%,331
12-Jun-11,18.5,14.6,25,10.3,151.19K,26.62%,330
11-Jun-11,14.6,24,24,13,121.87K,-38.83%,329
10-Jun-11,24,28.9,29.4,20,92.21K,-17.19%,328
9-Jun-11,28.9,29.6,31.5,26.1,62.93K,-2.30%,327
8-Jun-11,29.6,23.9,31.9,22.2,104.93K,23.75%,326
7-Jun-11,23.9,18.5,24.3,18.3,53.72K,28.95%,325
6-Jun-11,18.5,16.7,19.2,16.5,55.09K,11.08%,324
